Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
118,11M IntC1,26.285000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
119,11M IntC2,27.555000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
120,11M IntEU1,27.315000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,5.0W,,,,,
121,11M IntEU2,27.305000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,5.0W,,,,,
122,11M IntEU3,27.315000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,5.0W,,,,,
123,11M IntEU4,27.125000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,10.00,,5.0W,,,,,
124,11M Call1,27.995000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,5.00,,5.0W,,,,,
125,11M Call2,27.997000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,5.00,,5.0W,,,,,
126,11M Call3,28.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,5.00,,5.0W,,,,,
127,11M CallFM,27.855000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
128,11M CallUS,27.855000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,5.00,,5.0W,,,,,
129,K22 Matra,27.225000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
130,K24 Pecel,22.235000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
131,K29 Vac Bp,27.295000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,5.0W,Vac-Budapest kornyeki CB-sek,,,,
132,K36 Balato,27.365000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,Balatoni CB-sek,,,,
133,K40,27.405000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,Kamionosok,,,,
134,F38 Hivo,27.835000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
135,HA5BHA CW,28.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,0.01,,5.0W,,,,,
136,VHF10,156.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,Hajozasi csatorna,,,,
137,VHF11,156.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
138,VHF12,156.600000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
